Topic,Word,TypedFrequency,SpokenFrequency,TotalFrequency,LastUsedDate,RelatedWords
Work,deadline,61,29,90,2025-04-11,"meeting, presentation, email, teamwork, client"
Work,presentation,46,38,84,2025-03-23,"client, meeting, project, teamwork, deadline"
Work,meeting,53,58,111,2025-04-11,"presentation, teamwork, project, client, deadline"
Work,project,56,37,93,2025-03-23,"email, meeting, deadline, presentation, teamwork"
Work,teamwork,20,46,66,2025-04-08,"deadline, client, meeting, email, project"
Work,email,33,70,103,2025-04-18,"deadline, teamwork, client, meeting, presentation"
Work,client,60,51,111,2025-04-06,"teamwork, email, presentation, project, deadline"
Selfcare,meditation,21,10,31,2025-03-24,"exercise, diet, water, sleep, journaling"
Selfcare,exercise,45,10,55,2025-03-22,"sleep, rest, diet, meditation, water"
Selfcare,sleep,53,30,83,2025-04-07,"diet, rest, journaling, water, meditation"
Selfcare,water,44,47,91,2025-03-21,"sleep, journaling, diet, rest, meditation"
Selfcare,journaling,57,18,75,2025-03-29,"water, diet, exercise, meditation, rest"
Selfcare,diet,56,69,125,2025-04-04,"exercise, water, meditation, sleep, journaling"
Selfcare,rest,21,38,59,2025-03-21,"journaling, diet, meditation, exercise, water"
Finance,budget,15,43,58,2025-03-24,"insurance, tax, salary, saving, spending"
Finance,saving,31,30,61,2025-03-28,"budget, insurance, salary, investment, spending"
Finance,salary,21,38,59,2025-03-27,"investment, spending, saving, tax, budget"
Finance,investment,45,55,100,2025-04-08,"saving, insurance, tax, budget, salary"
Finance,insurance,66,63,129,2025-03-21,"budget, spending, saving, tax, investment"
Finance,tax,57,28,85,2025-04-04,"salary, budget, investment, insurance, saving"
Finance,spending,24,60,84,2025-04-19,"saving, salary, budget, insurance, tax"
Relationship,partner,42,33,75,2025-03-25,"conflict, care, chat, trust, weekend"
Relationship,chat,30,37,67,2025-03-27,"dinner, weekend, conflict, partner, trust"
Relationship,dinner,51,32,83,2025-03-31,"chat, conflict, partner, weekend, care"
Relationship,weekend,47,38,85,2025-04-06,"dinner, partner, chat, trust, conflict"
Relationship,trust,56,52,108,2025-03-20,"partner, conflict, weekend, care, chat"
Relationship,care,54,21,75,2025-04-15,"chat, dinner, weekend, trust, conflict"
Relationship,conflict,53,20,73,2025-03-23,"weekend, care, partner, trust, dinner"
Stress,burnout,22,55,77,2025-03-26,"delay, pressure, complain, overwork, tension"
Stress,delay,27,40,67,2025-03-26,"overwork, burnout, tired, complain, tension"
Stress,tired,18,19,37,2025-04-08,"delay, tension, overwork, complain, burnout"
Stress,overwork,24,44,68,2025-03-22,"complain, delay, burnout, pressure, tired"
Stress,complain,54,70,124,2025-04-07,"tired, burnout, tension, pressure, overwork"
Stress,tension,48,43,91,2025-04-14,"burnout, tired, overwork, complain, pressure"
Stress,pressure,49,70,119,2025-04-13,"overwork, delay, tired, tension, complain"
Future,goal,52,47,99,2025-03-20,"plan, promotion, study, child, house"
Future,promotion,32,36,68,2025-03-31,"house, goal, study, plan, child"
Future,study,32,58,90,2025-04-11,"promotion, goal, child, stability, plan"
Future,house,27,24,51,2025-03-27,"stability, promotion, goal, plan, study"
Future,child,70,25,95,2025-04-05,"study, house, plan, promotion, goal"
Future,plan,36,14,50,2025-03-23,"goal, promotion, stability, study, house"
Future,stability,29,10,39,2025-04-03,"plan, child, study, house, goal"
Leisure,movie,17,43,60,2025-04-05,"reading, travel, nap, game, hobby"
Leisure,cafe,28,56,84,2025-03-25,"nap, game, reading, travel, hobby"
Leisure,travel,46,21,67,2025-03-20,"reading, movie, cafe, game, hobby"
Leisure,nap,55,14,69,2025-03-26,"game, reading, cafe, movie, hobby"
Leisure,reading,69,22,91,2025-04-02,"nap, cafe, game, hobby, movie"
Leisure,game,36,45,81,2025-03-23,"travel, nap, reading, hobby, cafe"
Leisure,hobby,54,54,108,2025-03-31,"cafe, movie, travel, nap, reading"
